序号	文件名	环ID	节点	路由耗时(ns)
3317	QmbNkJVDr35ZPsvkh18qQBJzt6xNaP7Ypa92NNHoWXehZ3	ring2	node10	526
3318	Qmc7quDFDbSohTrcTkL8LqUMYCddWahtKnH2kw2PpBVrqU	ring0	node12	635
3319	QmYWYxhSv5DgKLs43v1iw48UNnxZcyBSSnYTNk4dfsrCp8	ring1	node5	553
3320	QmQR2J1H7kj8vcr1xKpeDNhd3VptYo2nACXHfg4Lu8zfM4	ring2	node10	581
3321	QmSMNzgnaAJxYZUu5aTL52hBnGLLe3HpXEPtcpkDZF5GdY	ring0	node4	594
3322	QmQmKsFkY4cadNqdKjTVzFRP262vvZCKa8gu3iJ2K3xX2o	ring1	node37	611
3323	QmZP1AgVamHAwzLUMyWCoEFJ7HasKzauQaRFzNe3SrKgw6	ring0	node20	703
3324	QmTBSBevouGZAnrRVu1kZRnAhEeqtYNrATeb9ZwWeyZPTQ	ring2	node18	589
3325	QmQUFmqArH2JaRxjAqsEdgn6LEeCP458i96H2Wid3Muui7	ring0	node0	562
3326	QmbK611pKMAZyR7CZtvrSmjXC7m1yQPzw1kvxocx8s3dYE	ring3	node31	642
3327	QmUCWfzuQVS2ZkP6nwYDuBJgw1vt8sHwz1vKiuqZyKWofa	ring0	node36	492
3328	QmYn8i97qBTETsJchgbtUm2WgVaZRgBGL2SZqE1ZDczLM7	ring1	node25	565
3329	QmTX5khdSuK5YqHp287xTVECWWR26YLXdr76p2WvMYwdSs	ring3	node7	603
3330	QmVB6H3X3jkT6gq2n7J1pcqxnst2ta3yFFAwYj5Ypjqf9S	ring3	node11	645
3331	Qmb2yBYRbToc61izAVNJMhjLxdrnbCaR1chgSGr2hTiRbC	ring3	node31	539
3332	QmcFYyYboGgwZwvESwS2PGJXkc9w8m1tw6f1itJGt6Cwyv	ring0	node36	526
3333	QmaonEobV4YmMUGyAsUFZoNepjMUictKR6bT429AJipADT	ring1	node9	564
3334	QmVbZjn6BxBLEXkzHRxdrHxbtdiZh35FLsmKKCYf8pxzKj	ring0	node36	530
3335	QmNp9hDwkSHnmYarfgexBdTg5y795dBNKAh9nuc93sE9UH	ring1	node25	552
3336	Qma8DrpLaKW4va376jwcyhzgCG6UGpSNFAEYYtmT3uj1uo	ring2	node38	579
3337	QmckBaN9yz6YHbenTNDDGsp5z252JB1CgbScQrmosjzf8s	ring3	node11	563
3338	QmNQ13TRryCQupNBDwJBJn8JyjMaJyigDmKc4Xseo65UxL	ring3	node19	673
3339	QmYuLqfcQX9f6KeWCJz1DhENCw4cXoiu3wfjkfCbawdveq	ring0	node36	534
3340	QmQ4pJ5jkR6Eoud4wJU4R16y8fikXnLnkj9UHWZxZmHatk	ring1	node1	569
3341	QmakGZ8oVXbKzEM7fZpUUCFux91LjUGwfdNrZ3gb8rnjBh	ring2	node14	553
3342	QmWYNHK5j9JK5fadDhEUgPzQHGCpYqpHkcormzPHPyD1Tv	ring1	node5	637
3343	QmcsJyguYjZk3WgxUph8aUJv2CSuXbYbqLQ5hVznHuxPHn	ring3	node7	525
3344	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	512
3345	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	513
3346	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	655
3347	QmcaemqsgJCrHJCV3T1N2VtTAU6nXQ7LxdzMbm1r1ZvK2U	ring2	node14	2335
3348	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	536
3349	QmPBQZrvARbbr7JJC3G6DBcGjowPcj24YMKiDc28YGQMKF	ring0	node24	637
3350	QmYoNS3tvgLii6YW6Lmod5ggKgkwV5g8eDieKfEE3W3YNs	ring1	node1	562
3351	QmVRBp5nN1fMW9aNsJKHaBi9qeXBRqUeYeWJEXEem9fnG1	ring1	node29	566
3352	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	619
3353	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	543
3354	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	624
3355	Qme46Fdn3LaT6zXyE5CxzDRfJvhvVwBjhux7XamjEnVKje	ring3	node31	598
3356	QmUMrr6cwb4m2c21ZbxxoxteQHkhtKarpnDZj79jqoNd5s	ring2	node30	578
3357	QmT6Q3LspDDuwGLoedAmTB96mzNHuhrryPPnj8xzq9AgRt	ring3	node7	512
3358	Qmf6apZ9UbffjLu61hdnxPu35znx3JLAQNn9A2fyDjUycP	ring3	node39	594
3359	QmQDvWyST33X3S1N8kf6g9UfCNRfp1LyBbxJEvYa4egi3z	ring0	node24	577
3360	QmUCWfzuQVS2ZkP6nwYDuBJgw1vt8sHwz1vKiuqZyKWofa	ring0	node36	540
3361	QmeYfXq3Kag2md7ehWm3vNwRXyZ2LLtu4uu6T2cZu6tNoG	ring3	node7	591
3362	QmNesyxGThgYvxxpAUSUi5XjkbCvBZzofRzSgnKRDHWDhT	ring1	node9	549
3363	QmNUHf3hYk92eYj6eZ331Y2CuXwZhLFF7pj6SiqTWEWRTo	ring1	node21	610
3364	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	561
3365	QmNeYeF367PDY5cn32ujFjZ9AXmtuYedq1fbji82jddjCq	ring3	node39	606
3366	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	580
3367	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	523
3368	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	575
3369	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	564
3370	QmYbeFzL89hh6U9oYFd8gimSkencMJGDZn1m43sB9cPqVq	ring3	node15	581
3371	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	490
3372	QmUCWfzuQVS2ZkP6nwYDuBJgw1vt8sHwz1vKiuqZyKWofa	ring0	node36	510
3373	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	574
3374	QmcWZo7DrxQLVfmPri5BRL6L5AocVwCwkqrnv45w21rnnm	ring1	node33	557
3375	Qmbza635LYdGB5BJUDGpumSs4bBmVd1UtcbR2R6Vq1nNvg	ring3	node39	576
3376	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	505
3377	QmewCrTqsMECeYcX2etcuRAi2G37yNrL1QBsjxjAgZSwfy	ring3	node31	485
3378	QmdEc1fv1z11gadXB4xQYGXiZYiZw6K87qZwtnReHzaUdo	ring0	node32	671
3379	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	579
3380	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	679
3381	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	475
3382	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	639
3383	QmUCWfzuQVS2ZkP6nwYDuBJgw1vt8sHwz1vKiuqZyKWofa	ring0	node36	520
3384	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	581
3385	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	505
3386	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	504
3387	QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco	ring2	node2	545
3388	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	536
3389	QmUCWfzuQVS2ZkP6nwYDuBJgw1vt8sHwz1vKiuqZyKWofa	ring0	node36	628
3390	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	598
3391	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	506
3392	QmT6Q3LspDDuwGLoedAmTB96mzNHuhrryPPnj8xzq9AgRt	ring3	node7	585
3393	QmUo7f95BgJDVZDVygRVMy638YpZDVsJYqNVQCvmP3LctT	ring2	node14	494
3394	QmdifNEVspdX7zCNCbjZp4VzdQoRPsqq8o65hGKyrMNPpS	ring2	node14	552
3395	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	520
3396	QmSdWr9uXqBmuTACGYkcq6wX2idgrK49J2pDPg3B6RpqSP	ring1	node5	551
3397	QmQaA84owbQDTP2V6ZGUvdsAdBeEziyfyVfTBy5NbkVn5N	ring3	node11	571
3398	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	538
3399	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	484
3400	QmZ7aN61Ukm14NEdEhgDMHoA63nTWQBYkH9PBouxKQQ6ta	ring2	node14	585
3401	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	499
3402	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	542
3403	QmP7bE8tMNC67wq3Zb53GseXWLW6fpf3mJrQhu8kxnpMTZ	ring3	node31	554
3404	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	543
3405	QmbX84ZxzBhsqS4qeDqoyEzs3pcS49WDHa9XqpWs9E1SPA	ring2	node18	510
3406	QmecRGd4u5DdhYJEg9CwRJjq4xWGDy3CkMWVCgg55cG9FR	ring2	node10	510
3407	QmcphxtKsAExUBUFazSuyqYLQ12DYBbmVWkuPocxkc9bZb	ring2	node18	1248
3408	QmZFnUm3bjSyEPrvxEa3fR9eUxnkfQeLmPTzDhAmCWtbMZ	ring3	node3	617
3409	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	479
3410	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	697
3411	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	544
3412	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	599
3413	QmYwVNmmHrMozqYodz7FuPsgB4ibTs7ug45pYK66aZf9HF	ring3	node27	634
3414	Qma36Zrgbi1Sh7S7aHodMM4qBXJNf4eho4J6QZ2qp2HZ2j	ring1	node33	663
3415	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	522
3416	QmddKAUh4Rw5iEZx3evR2M2aDXx9VxLiZRX4HKD21G3VZH	ring0	node24	615
3417	QmUPdy2A4ksMSrS55uvRPFeRbyMU523azRVsaGhmvjx89m	ring0	node24	623
3418	QmYvyxWStnzEEftb2mMjz1FYGtqypJ2pJ5R2oJsQTWSTEz	ring2	node2	685
3419	Qmd3SSRQEjFquk79sGTecfjxFHmxx3YAJBb7pLuC7fbeXQ	ring3	node15	599
3420	QmYNqB1n74jsQt1kUAtRSrFLF3A917D7jfP4aoGRPUsYyx	ring1	node9	599
3421	QmUfkDLTUSd3pdfNvZsZZ7Rvt3pPbY9mYqA9uFCXL2oY7j	ring2	node22	599
3422	QmbX84ZxzBhsqS4qeDqoyEzs3pcS49WDHa9XqpWs9E1SPA	ring2	node18	539
3423	QmdEc1fv1z11gadXB4xQYGXiZYiZw6K87qZwtnReHzaUdo	ring0	node32	555
3424	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	540
3425	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	481
3426	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	545
3427	QmdTD7uY31KHYzrcxx19sfLyeNJ7qogMcmwu1FhLjwAtxv	ring2	node26	562
3428	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	607
3429	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	539
3430	QmdTD7uY31KHYzrcxx19sfLyeNJ7qogMcmwu1FhLjwAtxv	ring2	node26	549
3431	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	493
3432	QmT5ZnzWR2Y9bwtWypVQgFoYMSyi8CDt2Mh3eFeDu4cFc1	ring1	node9	1296
3433	QmSrwFp6e1qYwv2fxsYXFvU7TNhViCtsnUA4ZxSeLsCE11	ring3	node15	579
3434	QmY3xT8rsaZbD1FweGNpMeDwyAupfEUCfsbhU4EVM5nX7f	ring3	node7	689
3435	QmbX84ZxzBhsqS4qeDqoyEzs3pcS49WDHa9XqpWs9E1SPA	ring2	node18	540
3436	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	586
3437	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	671
3438	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	603
3439	QmVjnHtfw3jnYJnFPjGk9b5FBcaPA6HHcHEpRdHE3Ks1P6	ring2	node14	599
3440	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	568
3441	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	512
3442	QmP7bE8tMNC67wq3Zb53GseXWLW6fpf3mJrQhu8kxnpMTZ	ring3	node31	522
3443	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	539
3444	QmecRGd4u5DdhYJEg9CwRJjq4xWGDy3CkMWVCgg55cG9FR	ring2	node10	597
3445	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	555
3446	QmfCK6rrmutNfwwFaG9PtdvTLoPaS5YpwohiBnHP6MKtXW	ring3	node39	651
3447	QmSknFJz1Z16xKGBJPF41DPsCzyzCYqBD8ZmVmnyaN1Vw4	ring3	node15	532
3448	QmbX84ZxzBhsqS4qeDqoyEzs3pcS49WDHa9XqpWs9E1SPA	ring2	node18	505
3449	QmWKmFAz7ZLGbuN1LBc5ubjx6Q71qhUpkNRrwt8qTmBqL6	ring2	node10	543
3450	Qmei1f1fyesJVZRKFNdBxPJZRsQVZsz4Gwi5qUptgRn5sd	ring2	node22	535
3451	QmUwVBshgQqHHAdNhHDVRhcmmurLT28T5j98CsuZWujGKc	ring0	node8	550
3452	QmNaFs3ymvbuNqdy3QNStQRXgDpvv8Wq5N3kfbBmQA77uy	ring3	node27	618
3453	QmNjHWryo1jbrjEHkZTfXB7843NzS5tGLxE7m7AFSf7fkp	ring1	node21	588
3454	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	540
3455	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	530
3456	QmYwVNmmHrMozqYodz7FuPsgB4ibTs7ug45pYK66aZf9HF	ring3	node27	574
3457	QmYwVNmmHrMozqYodz7FuPsgB4ibTs7ug45pYK66aZf9HF	ring3	node27	493
3458	QmVgQBfVSiiv93WsPYVgB6B8C3t3k1XhnSK4jaxCYAJu5X	ring3	node31	517
3459	QmVc278YZHjSfc4sZF8r93GosWxia3UTyHw33NaV5FiNBo	ring0	node8	552
3460	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	528
3461	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	506
3462	Qmd6n9NeWCdfpUCcH1GWJUhHrgXJ8JiP1MPdzQYeEng2Nz	ring1	node1	569
3463	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	553
3464	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	520
3465	QmVudev5LRE3wFwVLYg43zqYoDJi2x3sB1pNUAtJZP6YjW	ring0	node8	632
3466	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	1102
3467	QmYbeFzL89hh6U9oYFd8gimSkencMJGDZn1m43sB9cPqVq	ring3	node15	571
3468	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	651
3469	QmRCu8yCtFmjSmp27DmwKmpUMAm4raWuBb7LhFCeAFCnEM	ring3	node27	529
3470	QmZB8awpNvtuSP6JgVNam5KNEFfrx3d2YFvHTvddggUEBx	ring2	node34	525
3471	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	569
3472	QmQrhPmvwHRNXu5tpymNx82K19k8VBPyrWx1DeNp8o5GqX	ring2	node38	564
3473	QmZeCVrHZ31LthEuEY15KXagb9fbSYyipdB5nFV3QHaRdH	ring3	node27	565
3474	QmZE5WY33MQJxBs6eNqpWWdZn1Dw1oi45jcYAdNB3DqtFp	ring3	node31	630
3475	QmcrX4Bp1RJ8oMjtfyib6jee4Mw4BL4oYXe571Fgrbad5s	ring3	node19	521
3476	QmXY7jTGYGwua8UDKQPkwukwzqineAunUtX4FE51beeBzN	ring3	node11	594
3477	QmP6aMEQQoTfH3iXSCM8mXYywaCVwErvxfWmUxXNggHKUi	ring2	node2	545
3478	QmXgJyHExegXMDZsw233LyDCgnf6Lhrgwb7JxDZCJG6qGL	ring2	node26	578
3479	QmWpSEimowKQmhUf2jtUa5RcfGid9YF6C6AP8EsKxzGKES	ring1	node21	531
3480	QmRUTWHWQMn9yCM8uVWDQN7mbuBgWd6X4WXSZUjvRHwWQk	ring3	node11	572
3481	QmP7bE8tMNC67wq3Zb53GseXWLW6fpf3mJrQhu8kxnpMTZ	ring3	node31	533
3482	QmQXxiuSL5djCgLvwjjiTjZTNTb6eknJGJQEp93D3JaX5z	ring3	node19	608
3483	QmbX84ZxzBhsqS4qeDqoyEzs3pcS49WDHa9XqpWs9E1SPA	ring2	node18	535
3484	QmSDPE1wcxBD8i9sBpALjE2pkuyqb9pvPM2bu66ERuH4zq	ring2	node14	576
3485	QmZARmKumcKkZfP9k3SbYfAj8bq71XyLw6jo9DdMPeFnSs	ring0	node8	549
3486	QmfRuQApXJDwQiw2HqSMzrXp7RD8CPVwWHenDpSWrcmMHj	ring3	node39	559
3487	QmRM8idh5jdhixhSgN7ofva2aUXbecr6J8UovQnrsk1BfA	ring2	node6	526
3488	QmSknFJz1Z16xKGBJPF41DPsCzyzCYqBD8ZmVmnyaN1Vw4	ring3	node15	526
3489	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	539
3490	QmThxR2ehgC9SwHuQzwSse9u3yQTS9iPpUPnFtjy4R7NHJ	ring3	node3	592
3491	QmXJaMcjLWD3fLnWqPzTCLcdvfd7iPtTqBrm81iEseSFE7	ring2	node10	528
3492	QmWo7kuTbMnnmFdMDtdaJ1EUGyrDFrPYdmu6prNCrWrQZF	ring0	node36	624
3493	QmbVQN7Tbva94HaBSm8WQVWjKT4CsNsWJ3Dd66y4ew179b	ring0	node12	518
3494	QmXYFMtYVBJBKjgGwf6MmrKhVtNdbVjLQCPLCu99hpAu47	ring3	node35	546
3495	Qmek7LF6NWTVLmhu2g8tDtE5XHAjtmycUMsy6U5XFb4jft	ring1	node29	618
3496	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	564
3497	QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq	ring1	node1	577
3498	Qmf5hFseQRnnXy8eKFVk49znMY7ghsGd3hjzputeNUQ4EE	ring2	node10	665
3499	QmTSRTPR2CUGzasM6gQFHnddzYYiRibbNpTSN5C1eyo4Wv	ring3	node11	534
3500	QmZXyKSJ4xQzmJTubKdcfJWhAtSZzCFGFpAzm3WhBhSZ7i	ring3	node39	522
3501	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	580
3502	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	492
3503	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	522
3504	QmbX84ZxzBhsqS4qeDqoyEzs3pcS49WDHa9XqpWs9E1SPA	ring2	node18	543
3505	QmUPdy2A4ksMSrS55uvRPFeRbyMU523azRVsaGhmvjx89m	ring0	node24	496
3506	QmSknFJz1Z16xKGBJPF41DPsCzyzCYqBD8ZmVmnyaN1Vw4	ring3	node15	502
3507	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	566
3508	QmXwHsbG9Qhz7VCaiQD2NStXZkyNRicKPGZQcFiiaG9iWc	ring2	node22	546
3509	QmP7bE8tMNC67wq3Zb53GseXWLW6fpf3mJrQhu8kxnpMTZ	ring3	node31	615
3510	QmWwUDuJ8YUR5U18HucoPCb7hrx15Mh67TtnsfLrHZWd8U	ring0	node4	730
3511	QmcqatM9xEgNBnBaMZLbbHFf6T95u4Cg3vtxMHQKrwprSm	ring3	node11	650
3512	QmP3CX6NwbXkNftXg24y38cQJbFoYY1coV3jJiB5m9Fv8w	ring2	node14	552
3513	QmZdmAJLugBYjFm1heWqA9rbAkr4hvHbgH3Mf2EaJWFNUU	ring0	node0	571
3514	QmPeCZ4ibGei5CRAiQLFBfF4eWTvQ8mG7PY9ffPcVNoPpA	ring1	node29	675
3515	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	526
3516	QmdonupABBe5xP93d6ZEc2EmyirEPu7Psrm3f5Wf5i6yf2	ring2	node14	534
3517	QmQN9HhFTFBFz9vv9oC2ki1dcSAfvE8QRDmf6G6i9oMmd9	ring0	node32	1534
3518	QmUVcqBYntKcD3hnkG5xyHjAfTNtRCoboiQJWoFjxGF6NR	ring1	node5	587
3519	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	513
3520	QmbmPDc1PNmxKfpixsk2oF8DAV6Yqs5QwhtwUWJtw8jSDF	ring2	node38	639
3521	QmfFzMB7oZhmTZ8aXEj2anhBL6zk4KnuV2LqwV7vZQWwF4	ring3	node19	541
3522	Qmejswp5Q8pidS8VnEttqnSh4w61KiYBwL3UBTh4BkgARs	ring1	node29	586
3523	QmbX84ZxzBhsqS4qeDqoyEzs3pcS49WDHa9XqpWs9E1SPA	ring2	node18	517
3524	QmVGBb9S18SdihpSiEUocEztuVeCiY25hNhAJxCTQSfrL3	ring3	node15	620
3525	QmRBf7kxjvtNyxijQoc8bYZcHdZkHs6pjPJug4r19h5fD7	ring1	node33	2124
3526	QmTu3amuKNsoNyfKP5XqfCKBYQVCyw1mL5SyvBp2XjdyQ2	ring1	node5	674
3527	QmTjKaJoB9ZzYhsVQ2j1KiogJPUaAMLBG55bKmDBoKs2Zt	ring0	node0	721
3528	QmYUHFzEvPsoseNWcHtqE18Ao8HPBRktLPoDMKpdDYvHQV	ring3	node11	587
3529	QmdRAvWJa2Ck3pQPVni1DhYHc1zZNvJnZWAacS3vfWuDYA	ring1	node13	563
3530	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	511
3531	QmXwHsbG9Qhz7VCaiQD2NStXZkyNRicKPGZQcFiiaG9iWc	ring2	node22	508
3532	Qmei1f1fyesJVZRKFNdBxPJZRsQVZsz4Gwi5qUptgRn5sd	ring2	node22	581
3533	QmeKLzUApSGCaBd4RcudRm8PwKRHukk2CfnkK5ekqS2BuR	ring1	node13	504
3534	QmP7bE8tMNC67wq3Zb53GseXWLW6fpf3mJrQhu8kxnpMTZ	ring3	node31	529
3535	QmUPdy2A4ksMSrS55uvRPFeRbyMU523azRVsaGhmvjx89m	ring0	node24	625
3536	QmSRHZZHAja9VC6k2ttfTMn9tGaAaAE1hmSuSvt1hETuvD	ring3	node31	502
3537	QmbnRpxt4aqDWCXkaVtQwZhrmrGBuXRyRCJBNtSy3P3qMf	ring2	node38	525
3538	QmcTLEPoA2NT6j7ny7pi1MGNnjFxK6icB1qsPX49xDXzjC	ring1	node25	452
3539	QmdnR4nuvSMdGcQxbJiptMREAxKWtQRcNHSBxXYBf1fYXj	ring0	node16	533
3540	QmRECqRurhc4oh1h9rYSD5hMKkAF34kwV3kzAg6RL6SXJ7	ring2	node10	636
3541	QmVtN9HD81dbe2ywt9Z87kdLHVsEEJZu98mNRhagWUZq3r	ring2	node6	630
3542	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	472
3543	QmdgqdLLMSWErdjo8SpD2oDv18R4KGuxxLnei6B3D8rJ8e	ring1	node17	695
3544	QmcLCohZfkbohmW568Ux2mNRWM3d3ftL61uTxSyhorCGJx	ring2	node22	472
3545	QmQFuNPHWeYL2D66wtwNXEJ8hpcdsJiQi8SF2ef6DQiGCo	ring2	node26	615
3546	QmePERuSk6kmLPBknRgSH9NitZLXqQSWQ3yLZzhuhqPTpy	ring1	node13	510
3547	QmXiHxZK9vQDLehVLUsoNirXmUox6DUVPsfmGv4ZfP9Pfp	ring0	node12	463
3548	QmSEosra1k99PvfNViBb551jTmFBLqoLm2dTmLmthw5mBr	ring3	node39	584
3549	QmddaQS5pWU6yS8Cr5LFB6we9UUVpNEm4cg4B359F1XY3A	ring0	node32	537
3550	QmXKXQnUXbtdiCTp9qrHpgTdPxQBnDiF2vN3kNnvz4z5AZ	ring2	node2	458
3551	QmcU9xYccCtyMYSpEZS1X5vAtFxhKrFWsp7wyWtNJXhWLV	ring0	node24	455
3552	QmUcNAxfU4PxSasB4P3GFov31MJCcAovDFDiLP4wcdNUER	ring0	node24	438
3553	QmSEosra1k99PvfNViBb551jTmFBLqoLm2dTmLmthw5mBr	ring3	node39	376
3554	QmVHVJKsUSt6YGW9JTfzrhAyRY2hQgNUo2r6JkK51di6kU	ring0	node0	373
3555	QmVMddPpDpyZDXDHTX3pMNQuHKNaENdS4eniM5TjnzhbVW	ring2	node38	415
3556	QmY3xT8rsaZbD1FweGNpMeDwyAupfEUCfsbhU4EVM5nX7f	ring3	node7	530
3557	QmYJ9ZZtbkXf8DqBaUhuRJmAtBB9j1Ept5KRmrjLb8DoJ3	ring0	node20	643
3558	QmXt5wkK1psTXG8S9DVPNiuCmi8cgzw92cyn4pRVAAdiea	ring3	node27	454
3559	QmdRnETqcaNQBQL94zycG3GsApyUSpUUhk9LkXTo8M9MFb	ring3	node31	718
3560	QmefXDXgGB8XUqPQeXuWwVycn3Yf6JCJcW11C6L8cguKSK	ring2	node34	452
3561	QmVjnHtfw3jnYJnFPjGk9b5FBcaPA6HHcHEpRdHE3Ks1P6	ring2	node14	730
